Data,Player 1,Player 2,Player 3,Player 4,Player 5
2023-08-01,268,38,2525,4,224
2023-09-01,271,7,2065,0,112
2023-10-01,339,45,1102,46,2
2023-11-01,266,18,1303,0,89
2023-12-01,269,10,734,0,5
2024-01-01,261,107,1079,30,25
2024-02-01,273,479,1544,62,185
2024-03-01,260,54,932,47,211
2024-04-01,0,0,952,1,0
2024-05-01,0,12,760,0,0
2024-06-01,334,87,1310,1024,5
2024-07-01,329,62,631,546,7
